x [pixels], y [pixels], u [pixels], v [pixels], SNR [peak/mean], valid [0 if masked], filtered [1 if filtered], avg. intensity
         0	       369	-0.1635647124	-5.168595648	25.40899867	1	0	31.91699219
        16	       369	-0.214107226	-5.317644003	23.00053247	1	0	33.92285156
        32	       369	-0.4585852656	-5.799243728	27.49721319	1	0	24.39257812
        48	       369	-0.5911609676	-6.067959928	23.67697867	1	0	     30.25
        64	       369	-0.2630265676	-6.159757337	32.45168643	1	0	38.59570312
        80	       369	-0.1837036529	-6.123132937	34.82742196	1	0	   37.3125
        96	       369	-0.2679188219	-6.035052125	28.78763249	1	0	31.59082031
       112	       369	-0.2421609212	-5.89667206	 24.689809	1	0	23.54492188
       128	       369	-0.06216983819	-5.720435885	17.18738588	1	0	 20.421875
       144	       369	0.4453529987	-5.608739918	20.52732322	1	0	22.15527344
       160	       369	0.6785510291	-6.062159983	23.64800798	1	0	25.00976562
       176	       369	0.6171572615	-5.870142176	22.85487068	1	0	  27.71875
       192	       369	0.7674867601	-5.8868766	32.2262303	1	0	27.46582031
       208	       369	0.9790419253	-5.997468144	32.47032595	1	0	25.55273438
       224	       369	0.7576713017	-5.598582699	17.68869728	1	0	32.43457031
       240	       369	0.2276492525	-4.922563622	21.9199114	1	0	42.47363281
       256	       369	0.1492476709	-5.065177893	22.52275384	1	0	40.00878906
       272	       369	-0.08076520332	-6.137368481	28.11559124	1	0	46.00976562
       288	       369	-0.02271987777	-6.156330746	26.03991148	1	0	45.19921875
       304	       369	0.1914245461	-6.049229828	35.75907356	1	0	32.66894531
       320	       369	-0.1205843834	-6.005492591	41.53561142	1	0	35.88769531
       336	       369	-0.2925862751	-5.784013434	39.43160837	1	0	38.18945312
       352	       369	-0.2476262138	-5.583225022	38.06696311	1	0	33.45800781
       368	       369	-0.0213254008	-5.774672577	38.31064828	1	0	29.47265625
       384	       369	-0.2146662166	-5.824524481	31.60398081	1	0	26.64550781
       400	       369	-0.3278052858	-5.319271031	31.30311167	1	0	26.49511719
       416	       369	-0.1430699895	-5.140699686	37.52816959	1	0	27.50097656
       432	       369	-0.01732318597	-5.664653978	26.00463378	1	0	30.74902344
       448	       369	-0.04769357126	-5.858679658	23.62448158	1	0	32.91210938
       464	       369	-1.200847864	-5.357694422	22.00036686	1	0	34.20605469
         0	       353	0.006439055152	-5.225128504	25.30371846	1	0	29.84179688
        16	       353	-0.04516972714	-5.457966429	24.35553589	1	0	33.72949219
        32	       353	-0.2837186874	-5.848270247	22.00899598	1	0	31.95410156
        48	       353	-0.2051662684	-6.128051974	26.85660572	1	0	32.67480469
        64	       353	-0.1307243311	-6.128937826	39.57875122	1	0	30.49414062
        80	       353	-0.03257152449	-6.051857493	36.44687327	1	0	30.19921875
        96	       353	-0.00879206663	-6.054073917	31.37669836	1	0	28.68554688
       112	       353	0.288821779	-6.009255887	25.13433408	1	0	24.94042969
       128	       353	0.396244331	-5.748327581	17.88707163	1	0	25.86035156
       144	       353	0.2853618514	-5.755708792	20.9888365	1	0	30.15820312
       160	       353	0.3747646153	-5.881436499	28.72428428	1	0	32.73925781
